is_division,cost_codes,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",64100.M - Architectural Casework & Millwork,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",64100.S - Architectural Casework & Millwork,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",66113.M - Simulated Stone Fabrications,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",66113.S - Simulated Stone Fabrications,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",66116.M - Solid Surfacing and Ctops,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",66116.S - Solid Surfacing and Ctops,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",67300.M - Composite Decking,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",68316.M - FRP Wall Paneling,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",68316.S - FRP Wall Paneling,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",68700.M - Pergolas,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",68700.S - Pergolas,,,,,,,,,,
DIV. 7 - Thermal and Mois,71000.S - Waterproofing,,,,,,,,,,
DIV. 7 - Thermal and Mois,71413.S - Hot Fluid Applied Waterproofing,,,,,,,,,,
DIV. 7 - Thermal and Mois,71800.S - Traffic Coatings,,,,,,,,,,
DIV. 7 - Thermal and Mois,72100.S - Thermal Insulation,,,,,,,,,,
DIV. 7 - Thermal and Mois,"72400.S - Stucco, Plaster, EIFS",,,,,,,,,,
DIV. 7 - Thermal and Mois,72500.S - Weather Barriers,,,,,,,,,,
DIV. 7 - Thermal and Mois,72700.S - Spray-Applied Air Barriers,,,,,,,,,,
DIV. 7 - Thermal and Mois,73113.S - Asphalt Shingles,,,,,,,,,,
DIV. 7 - Thermal and Mois,74213.S - Metal Panel Siding,,,,,,,,,,
DIV. 7 - Thermal and Mois,74600.S - Siding,,,,,,,,,,
DIV. 7 - Thermal and Mois,75000.S - Membrane Roofing,,,,,,,,,,
DIV. 7 - Thermal and Mois,76100.S - Metal Roofing,,,,,,,,,,
DIV. 7 - Thermal and Mois,76200.S - Sheet Metal Flashing and Trim,,,,,,,,,,
DIV. 7 - Thermal and Mois,77600.S - Roof Pavers,,,,,,,,,,
DIV. 7 - Thermal and Mois,78100.S - Applied Fireproofing,,,,,,,,,,
DIV. 7 - Thermal and Mois,78400.S - Firestopping,,,,,,,,,,
DIV. 7 - Thermal and Mois,79200.S - Joint Sealants,,,,,,,,,,
DIV. 7 - Thermal and Mois,79500.S - Expansion Joints,,,,,,,,,,
DIV. 8 - Openings,"81000.M - Doors, Frames, Hardware",,,,,,,,,,
DIV. 8 - Openings,83000.M - Specialty Doors and Frames,,,,,,,,,,
DIV. 8 - Openings,83113.M - Access Doors and Panels,,,,,,,,,,
DIV. 8 - Openings,83613.S - Overhead and Coiling Doors,,,,,,,,,,
DIV. 8 - Openings,84000.S - Aluminum Entrances and Storefronts,,,,,,,,,,
DIV. 8 - Openings,84400.S - Curtain Wall,,,,,,,,,,
DIV. 8 - Openings,85113.M - Aluminum Windows and Patio Doors,,,,,,,,,,
DIV. 8 - Openings,85113.S - Aluminum Windows and Patio Doors,,,,,,,,,,
DIV. 8 - Openings,85413.M - Windows and Patio Doors,,,,,,,,,,
DIV. 8 - Openings,85413.S - Windows and Patio Doors,,,,,,,,,,
DIV. 8 - Openings,86000.M - Roof Windows and Skylights,,,,,,,,,,
DIV. 8 - Openings,86000.S - Roof Windows and Skylights,,,,,,,,,,
DIV. 8 - Openings,87000.S - Hardware,,,,,,,,,,
DIV. 8 - Openings,88000.M - Glazing,,,,,,,,,,
DIV. 8 - Openings,88000.S - Glazing,,,,,,,,,,
DIV. 8 - Openings,88330.M - Mirrors,,,,,,,,,,
DIV. 8 - Openings,88330.S - Mirrors,,,,,,,,,,
DIV. 8 - Openings,89000.M - Louvers and Vents,,,,,,,,,,
DIV. 9 - Finishes,92116.S - Gypsum Board Assemblies,,,,,,,,,,
DIV. 9 - Finishes,92216.S - Steel Stud Metal Framing,,,,,,,,,,
DIV. 9 - Finishes,93000.S - Tile,,,,,,,,,,
DIV. 9 - Finishes,95123.S - Acoustical Tile Ceilings,,,,,,,,,,
DIV. 9 - Finishes,96400.S - Wood Flooring,,,,,,,,,,
DIV. 9 - Finishes,96500.S - Resilient Flooring,,,,,,,,,,
DIV. 9 - Finishes,96600.S - Terrazzo Flooring,,,,,,,,,,
DIV. 9 - Finishes,96800.S - Carpeting,,,,,,,,,,
DIV. 9 - Finishes,97200.S - Wall Coverings,,,,,,,,,,
DIV. 9 - Finishes,99000.S - Painting and Coating,,,,,,,,,,
DIV. 9 - Finishes,99646.S - Intumescent Painting,,,,,,,,,,
DIV. 9 - Finishes,99656.S - Epoxy Flooring,,,,,,,,,,
